DateTime,day_type,temp,year
2015-01-01,Sunday/Holiday,-1.041753,2015
2015-01-02,Saturday,6.6147103,2015
2015-01-03,Sunday/Holiday,1.9604455,2015
2015-01-04,Weekday,1.1306306,2015
2015-01-05,Weekday,-0.67665774,2015
2015-01-06,Sunday/Holiday,-0.08563044,2015
2015-01-07,Weekday,-3.6883383,2015
2015-01-08,Weekday,-2.0539734,2015
2015-01-09,Saturday,6.558738,2015
2015-01-10,Sunday/Holiday,13.62765,2015
2015-01-11,Weekday,5.1798596,2015
2015-01-12,Weekday,2.2991579,2015
2015-01-13,Weekday,7.321404,2015
2015-01-14,Weekday,5.4499764,2015
2015-01-15,Weekday,3.4904902,2015
2015-01-16,Saturday,7.4826217,2015
2015-01-17,Sunday/Holiday,7.2242007,2015
2015-01-18,Weekday,2.0334136,2015
2015-01-19,Weekday,1.0096769,2015
2015-01-20,Weekday,-0.0012734731,2015
2015-01-21,Weekday,1.194137,2015
2015-01-22,Weekday,1.6705092,2015
2015-01-23,Saturday,2.8641367,2015
2015-01-24,Sunday/Holiday,1.922709,2015
2015-01-25,Weekday,0.87126404,2015
2015-01-26,Weekday,-1.2379516,2015
2015-01-27,Weekday,-1.0568042,2015
2015-01-28,Weekday,-0.52241725,2015
2015-01-29,Weekday,-2.0223038,2015
2015-01-30,Saturday,-1.1352116,2015
2015-01-31,Sunday/Holiday,-0.885515,2015
2015-02-01,Weekday,-1.5192676,2015
2015-02-02,Weekday,-1.3520151,2015
2015-02-03,Weekday,-1.7439796,2015
2015-02-04,Weekday,-2.3397837,2015
2015-02-05,Weekday,-3.077836,2015
2015-02-06,Saturday,-1.8067746,2015
2015-02-07,Sunday/Holiday,-3.6954803,2015
2015-02-08,Weekday,-2.7198055,2015
2015-02-09,Weekday,-1.8230333,2015
2015-02-10,Weekday,4.1967974,2015
2015-02-11,Weekday,0.90059227,2015
2015-02-12,Weekday,-0.5108607,2015
2015-02-13,Saturday,-0.54170495,2015
2015-02-14,Sunday/Holiday,0.5548167,2015
2015-02-15,Weekday,2.2928329,2015
2015-02-16,Weekday,2.6146643,2015
2015-02-17,Weekday,0.09539502,2015
2015-02-18,Weekday,-0.80944824,2015
2015-02-19,Weekday,1.36491,2015
2015-02-20,Saturday,5.2609525,2015
2015-02-21,Sunday/Holiday,4.3904376,2015
2015-02-22,Weekday,3.018216,2015
2015-02-23,Weekday,2.9299562,2015
2015-02-24,Weekday,3.0162604,2015
2015-02-25,Weekday,3.0425594,2015
2015-02-26,Weekday,4.064626,2015
2015-02-27,Saturday,2.9038093,2015
2015-02-28,Sunday/Holiday,3.1641176,2015
2015-03-01,Weekday,4.1114144,2015
2015-03-02,Weekday,6.3088765,2015
2015-03-03,Weekday,4.237516,2015
2015-03-04,Weekday,4.389527,2015
2015-03-05,Weekday,2.4251375,2015
2015-03-06,Saturday,1.6790279,2015
2015-03-07,Sunday/Holiday,3.271272,2015
2015-03-08,Weekday,3.6739223,2015
2015-03-09,Weekday,3.5520308,2015
2015-03-10,Weekday,6.24538,2015
2015-03-11,Weekday,5.8914456,2015
2015-03-12,Weekday,2.7239752,2015
2015-03-13,Saturday,2.7628021,2015
2015-03-14,Sunday/Holiday,2.5680869,2015
2015-03-15,Weekday,1.9899422,2015
2015-03-16,Weekday,4.7332506,2015
2015-03-17,Weekday,6.1261196,2015
2015-03-18,Weekday,6.1008906,2015
2015-03-19,Weekday,5.8509583,2015
2015-03-20,Saturday,5.7493215,2015
2015-03-21,Sunday/Holiday,8.342107,2015
2015-03-22,Weekday,7.0683937,2015
2015-03-23,Weekday,4.614834,2015
2015-03-24,Weekday,7.929892,2015
2015-03-25,Weekday,8.065811,2015
2015-03-26,Weekday,8.463881,2015
2015-03-27,Saturday,6.0366344,2015
2015-03-28,Sunday/Holiday,6.1062145,2015
2015-03-29,Weekday,7.5064716,2015
2015-03-30,Weekday,8.333882,2015
2015-03-31,Weekday,7.2351418,2015
2015-04-01,Weekday,2.9733913,2015
2015-04-02,Weekday,2.404062,2015
2015-04-03,Saturday,2.8901062,2015
2015-04-04,Sunday/Holiday,2.4135058,2015
2015-04-05,Weekday,2.1179292,2015
2015-04-06,Sunday/Holiday,0.6274328,2015
2015-04-07,Weekday,2.3878787,2015
2015-04-08,Weekday,6.65123,2015
2015-04-09,Weekday,7.190472,2015
2015-04-10,Saturday,11.007445,2015
2015-04-11,Sunday/Holiday,12.700375,2015
2015-04-12,Weekday,13.268592,2015
2015-04-13,Weekday,14.099164,2015
2015-04-14,Weekday,10.439336,2015
2015-04-15,Weekday,16.427595,2015
2015-04-16,Weekday,18.423365,2015
2015-04-17,Saturday,14.007398,2015
2015-04-18,Sunday/Holiday,5.868281,2015
2015-04-19,Weekday,5.660399,2015
2015-04-20,Weekday,9.980157,2015
2015-04-21,Weekday,13.095665,2015
2015-04-22,Weekday,14.246179,2015
